contrast	n_samples	n_rows	elapsed_s	maximum_resident_set_KiB	baseMean_max_abs	log2FoldChange_max_abs	lfcSE_max_abs	stat_max_abs	pvalue_max_abs	padj_max_abs	finite_or_NA_mismatches
heart_full_blocked_permutation_rep01	296	69045	128.625	2947976	6.984919309616089e-09	0.0010510093048545777	2.4211697772918983e-06	0.0015259081158007781	0.0005700039763352205	0.0008748008489189996	0
heart_full_blocked_permutation_rep02	296	69045	141.314	2975632	6.984919309616089e-09	0.00103173226377673	7.4218914111190415e-06	0.0017683871346703128	0.00016466642384380115	1.493661028195703e-10	0
testis_full_blocked_permutation_rep01	292	71625	123.999	2890084	6.402842700481415e-10	4.830643256514833e-07	1.3325425591154128e-06	5.614677881937702e-05	1.8285490340330668e-05	1.1459222459819784e-10	0
pancreas_full_blocked_permutation_rep01	273	68542	110.582	2713284	4.6566128730773926e-09	9.866777955540307e-05	1.605752933286908e-06	0.00028033725447035307	0.00021983699654704036	2.9579421085834667e-06	0
